Abbreviation,KEGG ID
'Activated' tRNA,C02342
((R)-3-Hydroxybutanoyl)(n-2),C06147
"(+)-(1R,2R)-1,2-Diphenylethane-1,2-diol",C16015
"(+)-(1R,2S)-cis-3,4-Dihydroxy-3,4-dihyd",C07721
(+)-12-(2-Cyclopenten-1-yl)-2-dodecanone,C15464
(+)-13alpha-Tigloyloxylupanine,C04170
"(+)-2,3-Dienoyl fatty acyl thioesters",C04347
"(+)-2,7-Dideoxypancratistatin",C12256
(+)-3-Carene,C11382
(+)-6a-Hydroxymaackiain,C16230
(+)-7-Isojasmonic acid,C16317
(+)-7-Isojasmonic acid CoA,C16339
(+)-7-Isomethyljasmonate,C16318
(+)-8-Hydroxycalamenene,C09938
(+)-Adlumine,C09324
(+)-Atherospermoline,C11141
(+)-Bisdechlorogeodin,C03036
(+)-Bornyl-diphosphate,C03190
(+)-Camphene,C06304
(+)-Cassythicine,C09389
(+)-Chrysanthenone,C11394
(+)-Elaeocarpine,C10591
(+)-Eudesmin,C10561
(+)-Galbacin,C10616
(+)-Gallocatechin,C12127
(+)-Germacrene A,C16141
(+)-Hydrastine,C13799
(+)-Iridodial,C09785|C09804
(+)-Isomenthone,C11952
(+)-Limonene,C06099
(+)-Linalool,C11389
(+)-Luguine,C09575
(+)-Maackiain,C16229
(+)-Mecambroline,C09589
(+)-Medicarpin,C01729
(+)-Menthofuran,C18025
(+)-Menthone,C11390
(+)-Methallenestrilphenol,C14888
(+)-N-Methylconiine,C10159
(+)-N-methylpseudoephedrine,C17903
(+)-Neomatatabiol,C09790
(+)-Neomenthol,C00553
(+)-Neomenthyl O-beta-D-glucoside,C04165
(+)-Ngaione,C09689
(+)-Nornicotine,C11360
(+)-Pimaric acid,C09159
(+)-Pinoresinol,C05366
(+)-Plicamine,C12254
(+)-Pronuciferine,C09611
(+)-Prosopinine,C10167
(+)-Pseudoephedrine,C02765
(+)-Reticuline,C02105
(+)-Sabinone,C01868
(+)-Sandaracopimaradiene,C11877
(+)-Sceletium A4,C12259
(+)-Sophorol,C16227
(+)-Syringaresinol,C10889
(+)-TACP,C13696
(+)-Valencene,C17277
(+)-Veraguensin,C10892
(+)-alpha-Pinene,C06306
(+)-beta-Phellandrene,C09877
"(+)-cis-3,4-Dihydrophenanthrene-3,4-diol",C04468
(+)-cis-Isopulegone,C11951
(+)-cis-Sabinol,C02213
(+)-delta-Cadinene,C06394
(+)-exo-5-Hydroxycamphor,C03448
(+)-gamma-Hydroxy-L-homoarginine,C08286
(+)-trans-Carveol,C11409
(+)-trans-Piperitenol,C03039
(+)-trans-Pulegol,C02484
(+)-trans-alpha-Irone,C11350
(+-)-5-Deoxykievitone,C10418
(+-)-Dalbergioidin,C10415
(+/-)-2-(4'-Isobutylphenyl)propionitrile,C04469
(+/-)-6-Hydroxy-3-oxo-alpha-ionol,C04166
(+/-)-6-Hydroxy-3-oxo-alpha-ionone,C04223
(+/-)-Asarinol A,C17824
(+/-)-Asarinol B,C17825
(+/-)-Bocconarborine A,C12196
(+/-)-Bocconarborine B,C12197
(+/-)-Bunolol,C04883
(+/-)-Dihydrobunolol,C04875
(+/-)-Homochelidonine,C12257
(+/-)-gamma-Lycorane,C12243
"(+/-)-trans-Acenaphthene-1,2-diol",C04167
(-)-8-Demethylmaritidine,C12180
(-)-ABA,C06082|C11060
(-)-Acanthocarpan,C10198
(-)-Anaferine,C11358
(-)-Apoglaziovine,C09340
(-)-Apparicine,C09036
(-)-Arctigenin,C10545
(-)-Argemonine,C09341
(-)-Bisdechlorogeodin,C03040
(-)-Bunolol,C07914
(-)-Caaverine,C09368
(-)-Camphor,C18369|C00809
(-)-Catechin,C17590|C14079
(-)-Chimonanthine,C09133
(-)-Citronellol,C11386
(-)-Deltoin,C17482
(-)-Epicatechin,C09727
(-)-Epigallocatechin,C12136
(-)-Germacrene D,C16142
(-)-Glyceollin II,C10422
(-)-Glycinol,C01263
(-)-Hygroline,C10152
(-)-Isomenthone,C17125
(-)-Kaur-16-en-7beta-ol-19-oic acid,C11875
(-)-Laudanidine,C09555
(-)-Maackiain,C10502
(-)-Maackiain-3-O-glucosyl-6''-O-malonate,C16231
(-)-Medicarpin,C10503
(-)-Medicocarpin,C16223
(-)-Menthyl O-beta-D-glucoside,C03962
(-)-Nissolin,C10508
(-)-Ormosanine,C10777
(-)-Phaseollinisoflavan,C10515
(-)-Pinoresinol glucoside,C17529
(-)-Quebrachitol,C08257
(-)-Salsoline,C09640
(-)-Santiaguine,C10170
(-)-Sativan,C10526
(-)-Sedamine,C10171
(-)-Solenopsin A,C16782
(-)-Sophorol,C16228
(-)-Sparticarpin,C10531
(-)-Sympatol,C01869
