Abbreviation,Compartment,Name,Formula,Review Status,Charge,CAS Number,Formula Neutral,Compound Names,KEGG cmpd ID,BiGG ID,PubChem,InChI,pH of compartment,C,H,N,O,P,S,F,Fe,Mg,Na,Se,R,X
10fthf,Cytosol,10-Formyltetrahydrofolate,C20H21N7O7,Completely Reviewed,-2,,C20H23N7O7,,C00234,34337,3533,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)",7.1,20,21,7,7,0,0,0,0,0,0,0,0,0
10fthf[h],Chloroplast,10-Formyltetrahydrofolate,C20H21N7O7,Completely Reviewed,-2,,C20H23N7O7,,C00234,34337,3533,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)",8.0,20,21,7,7,0,0,0,0,0,0,0,0,0
10fthf[m],Mitochondria,10-Formyltetrahydrofolate,C20H21N7O7,Completely Reviewed,-2,,C20H23N7O7,,C00234,34337,3533,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)",7.8,20,21,7,7,0,0,0,0,0,0,0,0,0
10fthf[x],Glyoxysome,10-Formyltetrahydrofolate,C20H21N7O7,Completely Reviewed,-2,,C20H23N7O7,,C00234,34337,3533,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)",8.2,20,21,7,7,0,0,0,0,0,0,0,0,0
10fthfglu-L,Cytosol,10-Formyltetrahydrofolyl L-glutamate,C25H28N8O10,Completely Reviewed,-2,,C25H30N8O10,,C05928,,8216,"InChI=1S/C25H30N8O10/c26-25-31-20-19(22(39)32-25)28-13(9-27-20)10-33(11-34)14-3-1-12(2-4-14)21(38)30-16(24(42)43)5-7-17(35)29-15(23(40)41)6-8-18(36)37/h1-4,11,13,15-16,28H,5-10H2,(H,29,35)(H,30,38)(H,36,37)(H,40,41)(H,42,43)(H4,26,27,31,32,39)",7.1,25,28,8,10,0,0,0,0,0,0,0,0,0
10fthfglu-L[m],Mitochondria,10-Formyltetrahydrofolyl L-glutamate,C25H28N8O10,Completely Reviewed,-2,,C25H30N8O10,,C05928,,8216,"InChI=1S/C25H30N8O10/c26-25-31-20-19(22(39)32-25)28-13(9-27-20)10-33(11-34)14-3-1-12(2-4-14)21(38)30-16(24(42)43)5-7-17(35)29-15(23(40)41)6-8-18(36)37/h1-4,11,13,15-16,28H,5-10H2,(H,29,35)(H,30,38)(H,36,37)(H,40,41)(H,42,43)(H4,26,27,31,32,39)",7.8,25,28,8,10,0,0,0,0,0,0,0,0,0
12dgr160[h],Chloroplast,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)",C35H68O5,Manually Reviewed,0,,C35H68O5,,C00641,2618257,3914,,8.0,35,68,0,5,0,0,0,0,0,0,0,0,0
12dgr16018111Z,Cytosol,"1,2-Diacyl-sn-glycerol (1-hexadecanoyl,2-(11Z)-octadecenoyl, 16:0/18:1(11Z))",C37H70O5,Manually Reviewed,0,,C37H70O5,,C00641,,3914,,7.1,37,70,0,5,0,0,0,0,0,0,0,0,0
12dgr1601819Z,Cytosol,"1,2-Diacyl-sn-glycerol (1-hexadecanoyl,2-(9Z)-octadecenoyl, 16:0/18:1(9Z))",C37H70O5,Manually Reviewed,0,,C37H70O5,,C00641,,3914,,7.1,37,70,0,5,0,0,0,0,0,0,0,0,0
12dgr1601819Z[h],Chloroplast,"1,2-Diacyl-sn-glycerol (1-hexadecanoyl,2-(9Z)-octadecenoyl, 16:0/18:1(9Z))",C37H70O5,Manually Reviewed,0,,C37H70O5,,C00641,,3914,,8.0,37,70,0,5,0,0,0,0,0,0,0,0,0
