Metabolite,Molecular Forumla,Charge,Name,KEGG ID,MetaCyc ID
10fthf,C20H21N7O7,-2,10-Formyltetrahydrofolate,C00234,10-FORMYL-THF
12dgr_CB,C35.7H67.8O5,0,"1,2-Diacyl-sn-glycerol",C00641,
12ethd,C2H6O2H2,2,Ethylene glycol,C01380,
12ppd,C3H8O2H2,2,"Propane-1,2-diol",C00583,GLYCEROL
12ppd-R,C3H8O2,0,"(R)-Propane-1,2-diol",C02912,GALACTITOL
13dpg,C3H4O10P2,-4,3-Phospho-D-glyceroyl phosphate,C00236,DPG
15dap,C5H14N2H2,2,Cadaverine,C01672,
15HPET,C20H31O4,-1,15(S)-HPETE,C05966,
1ag3p_CB,C19.35H36.90O7P,-2,1-Acyl-sn-glycerol 3-phosphate,C00681,
1Dgali,C12H22O11,0,alpha-D-Galactosyl-(1->3)-1D-myo-inositol,C01235,
1p3h5c,C5H6NO3,-1,L-1-Pyrroline-3-hydroxy-5-carboxylate,C04281,
1pyr5c,C5H6NO2,-1,1-Pyrroline-5-carboxylate,C03912,L-DELTA1-PYRROLINE_5-CARBOXYLATE
23dappa,C3H9N2O2,1,"2,3-Diaminopropanoate",C06393,CPD-1782
23dhdp,C7H5NO4,-2,"2,3-Dihydrodipicolinate",C03340,2-3-DIHYDRODIPICOLINATE
23dhmb,C5H9O4,-1,"(R)-2,3-Dihydroxy-3-methylbutanoate",C04039,
23dhmp,C6H11O4,-1,"(R)-2,3-Dihydroxy-3-methylpentanoate",C06007,1-KETO-2-METHYLVALERATE
24dhydxy6am135tria,C3H3N4O2,-1,"2,4-Dihydroxy-6-amino-1,3,5-triazine",C08734,
25aics,C13H15N4O12P,-4,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate,C04823,P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE
25dhpp,C9H14N5O8P,-2,"2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine",C01304,DIAMINO-OH-PHOSPHORIBOSYLAMINO-PYR
25diamoxpyrm,C9H14N5O14P3,-4,"2,5-Diamino-6-(5-triphosphoryl-3,4-trihydroxy-2-oxopentyl)-amino-4-oxopyrimidine",C06148,
25dkglcn,C6H7O7,-1,"2,5-Didehydro-D-gluconate",C02780,25-DIDEHYDRO-D-GLUCONATE
26dap-LL,C7H14N2O4,0,"LL-2,6-Diaminoheptanedioate",C00666,LL-DIAMINOPIMELATE
26dap-M,C7H14N2O4,0,"meso-2,6-Diaminoheptanedioate",C00680,CPD-217
2ahbut,C6H9O4,-1,(S)-2-Aceto-2-hydroxybutanoate,C06006,2-ACETO-2-HYDROXY-BUTYRATE
2ahhmd,C7H8N5O8P2,-3,"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate",C04807,DIHYDROPTERIN-CH2OH-PP
2ahhmp,C7H9N5O2,0,"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine",C01300,
2amac,C3H5NO2,0,2-Aminoacrylate,C02218,
2ameph,C2H7NO3P,-1,2-Aminoethylphosphonate,C03557,
2c25dho,C7H6O6,0,"2-Carboxy-2,5-dihydro-5-oxofuran-2-acetate",C01278,CPD-7737
2chl4hydxy6am235tria,C3HClN4O,-2,"2-Chloro-4-hydroxy-6-amino-1,3,5-triazine",C08735,
2coum,C9H7O3,-1,cis-2-Hydroxycinnamate,C05838,CPD-7418
2cpr5p,C12H13NO9P,-3,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,C01302,CARBOXYPHENYLAMINO-DEOXYRIBULOSE-P
2dda7p,C7H10O10P,-3,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,C04691,3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P
2ddg6p,C6H8O9P,-3,2-Dehydro-3-deoxy-6-phospho-D-gluconate,C04442,2-KETO-3-DEOXY-6-P-GLUCONATE
2ddglcn,C6H9O6,-1,2-Dehydro-3-deoxy-D-gluconate,C00204,
2ddglcn[e],C6H9O6,-1,2-Dehydro-3-deoxy-D-gluconate,C00204,2-DEHYDRO-3-DEOXY-D-GLUCONATE
2dglcn,C6H11O6,-1,2-Deoxy-D-gluconate,C02782,DE-O-GLUCONATE
2dhguln,C6H9O7,-1,2-Keto-D-gluconic acid,C06473,CPD-377
2dhp,C6H9O4,-1,2-Dehydropantoate,C00966,2-DEHYDROPANTOATE
2dmmq8,C15H14O2(C5H8),0,2-Demethylmenaquinone,C05818,DEMETHYLMENAQUINONE
2dr1p,C5H9O7P,-2,2-Deoxy-D-ribose 1-phosphate,C00672,DEOXY-RIBOSE-1P
2dr5p,C5H9O7P,-2,2-Deoxy-D-ribose 5-phosphate,C00673,DEOXY-RIBOSE-5P
2h3oppan,C3H3O4,-1,2-Hydroxy-3-oxopropanoate,C01146,THIAMINE-P
2hb,C4H7O3,-1,2-Hydroxybutanoic acid,C05984,
2hdx2mbn,C5H9N1O1,0,(2S)-2-amino-3-oxo-4-phosphonooxybutanoate,,2-AMINO-3-OXO-4-PHOSPHONOOXYBUTYRATE
2hymeph,C7H8O2,0,Salicyl alcohol,C02323,CPD-173
2ins,C6H10O6,0,2-Inosose,C00691,
2ippm,C7H8O4,-2,2-Isopropylmaleate,C02631,CPD-9451
2kgtmt,C6H14N1O5,1,1-Amino-1-deoxy-scyllo-inositol,C01214,PROPANE-1-2-DIOL
2maacoa,C26H38N7O18P3S,-4,2-Methylacetoacetyl-CoA,C03344,2-METHYL-ACETO-ACETYL-COA
2mahmp,C6H8N3O7P2,-3,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate,C04752,AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP
2mb2coa,C26H38N7O17P3S,-4,2-Methylbut-2-enoyl-CoA,C03345,TIGLYL-COA
2mbcoa,C26H40N7O17P3S,-4,2-Methylbutanoyl-CoA,C15980,
2me4p,C5H11O7P,-2,2-C-Methyl-D-erythritol 4-phosphate,C11434,2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE
2mecdp,C5H10O9P2,-2,"2-C-Methyl-D-erythritol 2,4-cyclodiphosphate",C11453,2C-METH-D-ERYTHRITOL-CYCLODIPHOSPHATE
2mop,C4H5O3,-1,2-Methyl-3-oxopropanoate,C00349,CH3-MALONATE-S-ALD
2mp2coa,C25H36N7O17P3S,-4,2-Methylprop-2-enoyl-CoA,C03460,
2obut,C4H5O3,-1,2-Oxobutanoate,C00109,2-OXOBUTANOATE
2ombz,C47H70O3,0,"2-Octaprenyl-6-methoxy-1,4-benzoquinone",C05813,OCTAPRENYL-METHOXY-BENZOQUINONE
