Abbreviation,OfficialName,"Equation (note [c] and [e] at the beginning refer to the compartment the reaction takes place in, cytosolic and extracellular respectively)",Subsystem,ProteinClassDescription,Ref. (listed below),,,
ALATA_L,L-alanine transaminase,[c]akg + ala-L <==> glu-L + pyr,Alanine and aspartate metabolism,EC-2.6.1.2,,,,
ALAR,alanine racemase,[c]ala-L <==> ala-D,Alanine and aspartate metabolism,EC-5.1.1.1,,,,
ASNN,L-asparaginase,[c]asn-L + h2o --> asp-L + nh4,Alanine and aspartate metabolism,EC-3.5.1.1,,,,
ASNS2,asparagine synthetase,[c]asp-L + atp + nh4 --> amp + asn-L + h + ppi,Alanine and aspartate metabolism,EC-6.3.1.1,,,,
ASNS1,asparagine synthase (glutamine-hydrolysing),[c]asp-L + atp + gln-L + h2o --> amp + asn-L + glu-L + h + ppi,Alanine and aspartate metabolism,EC-6.3.5.4,,,,
ASPT,L-aspartase,[c]asp-L --> fum + nh4,Alanine and aspartate metabolism,EC-4.3.1.1,,,,
ASPTA,aspartate transaminase,[c]akg + asp-L <==> glu-L + oaa,Alanine and aspartate metabolism,EC-2.6.1.1,,,,
VPAMT,Valine-pyruvate aminotransferase,[c]3mob + ala-L --> pyr + val-L,Alanine and aspartate metabolism,EC-2.6.1.66,,,,
DAAD,D-Amino acid dehydrogenase,[c]ala-D + fad + h2o --> fadh2 + nh4 + pyr,Alanine and aspartate metabolism,EC-1.4.99.1,,,,
ALARi,alanine racemase (irreversible),[c]ala-L --> ala-D,Alanine and aspartate metabolism,EC-5.1.1.1,,,,
FFSD,beta-fructofuranosidase,[c]h2o + suc6p --> fru + g6p,Alternate Carbon Metabolism,EC-3.2.1.26,,,,
A5PISO,arabinose-5-phosphate isomerase,[c]ru5p-D <==> ara5p,Alternate Carbon Metabolism,EC-5.3.1.13,,,,
MME,methylmalonyl-CoA epimerase,[c]mmcoa-R <==> mmcoa-S,Alternate Carbon Metabolism,EC-5.1.99.1,,,,
MICITD,2-methylisocitrate dehydratase,[c]2mcacn + h2o --> micit,Alternate Carbon Metabolism,EC-4.2.1.99,11,,,
ALCD19,alcohol dehydrogenase (glycerol),[c]glyald + h + nadh <==> glyc + nad,Alternate Carbon Metabolism,EC-1.1.1.1,,,,
LCADi,lactaldehyde dehydrogenase,[c]h2o + lald-L + nad --> (2) h + lac-L + nadh,Alternate Carbon Metabolism,EC-1.2.1.22,,,,
TGBPA,Tagatose-bisphosphate aldolase,[c]tagdp-D <==> dhap + g3p,Alternate Carbon Metabolism,EC-4.1.2.40,,,,
LCAD,lactaldehyde dehydrogenase,[c]h2o + lald-L + nad <==> (2) h + lac-L + nadh,Alternate Carbon Metabolism,EC-1.2.1.22,,,,
ALDD2x,"aldehyde dehydrogenase (acetaldehyde, NAD)",[c]acald + h2o + nad --> ac + (2) h + nadh,Alternate Carbon Metabolism,EC-1.2.1.3,,,,
ARAI,L-arabinose isomerase,[c]arab-L <==> rbl-L,Alternate Carbon Metabolism,EC-5.3.1.4,,,,
RBK_L1,L-ribulokinase (L-ribulose),[c]atp + rbl-L --> adp + h + ru5p-L,Alternate Carbon Metabolism,EC-2.7.1.16,,,,
RBP4E,L-ribulose-phosphate 4-epimerase,[c]ru5p-L <==> xu5p-D,Alternate Carbon Metabolism,EC-5.1.3.4,120,,,
ACACCT,acetyl-CoA:acetoacetyl-CoA transferase,[c]acac + accoa --> aacoa + ac,Alternate Carbon Metabolism,,129,,,
BUTCT,Acetyl-CoA:butyrate-CoA transferase,[c]accoa + but --> ac + btcoa,Alternate Carbon Metabolism,EC-2.8.3.8,129,,,
AB6PGH,Arbutin 6-phosphate glucohydrolase,[c]arbt6p + h2o --> g6p + hqn,Alternate Carbon Metabolism,EC-3.2.1.86,88,,,
PMANM,phosphomannomutase,[c]man1p <==> man6p,Alternate Carbon Metabolism,EC-5.4.2.8,,,,
PPM2,phosphopentomutase 2 (deoxyribose),[c]2dr1p <==> 2dr5p,Alternate Carbon Metabolism,EC-5.4.2.7,,,,
PPM,phosphopentomutase,[c]r1p <==> r5p,Alternate Carbon Metabolism,EC-5.4.2.7,,,,
DRPA,deoxyribose-phosphate aldolase,[c]2dr5p --> acald + g3p,Alternate Carbon Metabolism,EC-4.1.2.4,,,,
GALCTND,galactonate dehydratase,[c]galctn-D --> 2dh3dgal + h2o,Alternate Carbon Metabolism,EC-4.2.1.6,132,,,
DDPGALA,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,[c]2dh3dgal6p <==> g3p + pyr,Alternate Carbon Metabolism,EC-4.1.2.21,132,,,
DDGALK,2-dehydro-3-deoxygalactonokinase,[c]2dh3dgal + atp --> 2dh3dgal6p + adp + h,Alternate Carbon Metabolism,EC-2.7.1.58,132,,,
DHAPT,Dihydroxyacetone phosphotransferase,[c]dha + pep --> dhap + pyr,Alternate Carbon Metabolism,,"42,81",,,
FAO4,fatty acid oxidation (Butanoyl-CoA ),[c]btcoa + fad + h2o + nad --> aacoa + fadh2 + h + nadh,Alternate Carbon Metabolism,,129,,,
ALDD19x,phenylacetaldehyde dehydrogenase,[c]h2o + nad + pacald --> (2) h + nadh + pac,Alternate Carbon Metabolism,EC-1.2.1.39,"25,33",,,
FRUK,fructose-1-phosphate kinase,[c]atp + f1p --> adp + fdp + h,Alternate Carbon Metabolism,EC-2.7.1.56,,,,
FCLPA,L-fuculose 1-phosphate aldolase,[c]fc1p <==> dhap + lald-L,Alternate Carbon Metabolism,EC-4.1.2.17,,,,
FCI,L-fucose isomerase,[c]fuc-L <==> fcl-L,Alternate Carbon Metabolism,EC-5.3.1.25,,,,
FCLK,L-fuculokinase,[c]atp + fcl-L --> adp + fc1p + h,Alternate Carbon Metabolism,EC-2.7.1.51,,,,
LCAR,lacaldehyde reductase,[c]h + lald-L + nadh <==> 12ppd-S + nad,Alternate Carbon Metabolism,EC-1.1.1.77,,,,
UDPG4E,UDPglucose 4-epimerase,[c]udpg <==> udpgal,Alternate Carbon Metabolism,EC-5.1.3.2,,,,
GALKr,galactokinase,[c]atp + gal <==> adp + gal1p + h,Alternate Carbon Metabolism,EC-2.7.1.6,,,,
UGLT,UDPglucose--hexose-1-phosphate uridylyltransferase,[c]gal1p + udpg <==> g1p + udpgal,Alternate Carbon Metabolism,EC-2.7.7.12,,,,
GALU,UTP-glucose-1-phosphate uridylyltransferase,[c]g1p + h + utp <==> ppi + udpg,Alternate Carbon Metabolism,EC-2.7.7.9,,,,
GALCTD,galactarate dehydratase,[c]galct-D --> 5dh4dglc + h2o,Alternate Carbon Metabolism,EC-4.2.1.42,51,,,
GLTPD,Galactitol-1-phosphate dehydrogenase,[c]galt1p + nad <==> h + nadh + tag6p-D,Alternate Carbon Metabolism,EC-Undetermined,,,,
GLYCTO2,Glycolate oxidase,[c]glyclt + q8 --> glx + q8h2,Alternate Carbon Metabolism,,,,,
GLYCTO3,Glycolate oxidase,[c]glyclt + mqn8 --> glx + mql8,Alternate Carbon Metabolism,,,,,
GLYCTO4,Glycolate oxidase,[c]2dmmq8 + glyclt --> 2dmmql8 + glx,Alternate Carbon Metabolism,,,,,
GLYCDx,Glycerol dehydrogenase,[c]glyc + nad --> dha + h + nadh,Alternate Carbon Metabolism,EC-1.1.1.6,"109,127",,,
GLYK,glycerol kinase,[c]atp + glyc --> adp + glyc3p + h,Alternate Carbon Metabolism,EC-2.7.1.30,,,,
PGLYCP,Phosphoglycolate phosphatase,[c]2pglyc + h2o --> glyclt + pi,Alternate Carbon Metabolism,EC-3.1.3.18,"58,69",,,
G3PD2,glycerol-3-phosphate dehydrogenase (NADP),[c]glyc3p + nadp <==> dhap + h + nadph,Alternate Carbon Metabolism,EC-1.1.1.94,,,,
GLCRAL,5-dehydro-4-deoxyglucarate aldolase,[c]5dh4dglc --> 2h3oppan + pyr,Alternate Carbon Metabolism,EC-4.1.2.20,51,,,
DHPPD,"2,3-dihydroxyphenylpropionate dehydrogenase",[c]cechddd + nad --> dhpppn + h + nadh,Alternate Carbon Metabolism,,24,,,
DHCIND,"2,3-dihydroxycinnamate dehydrogenase",[c]cenchddd + nad --> dhcinnm + h + nadh,Alternate Carbon Metabolism,,24,,,
PPPNDO,Phenylpropanoate Dioxygenase,[c]h + nadh + o2 + pppn --> cechddd + nad,Alternate Carbon Metabolism,,24,,,
CINNDO,Cinnamate dioxygenase,[c]cinnm + h + nadh + o2 --> cenchddd + nad,Alternate Carbon Metabolism,,24,,,
HPYRI,hydroxypyruvate isomerase,[c]hpyr <==> 2h3oppan,Alternate Carbon Metabolism,EC-5.3.1.22,3,,,
IDOND,L-idonate 5-dehydrogenase,[c]5dglcn + h + nadh <==> idon-L + nad,Alternate Carbon Metabolism,,5,,,
IDOND2,L-indonate 5-dehydrogenase (NADP),[c]5dglcn + h + nadph --> idon-L + nadp,Alternate Carbon Metabolism,,5,,,
GNK,gluconokinase,[c]atp + glcn --> 6pgc + adp + h,Alternate Carbon Metabolism,EC-2.7.1.12,,,,
5DGLCNR,5-dehydro-D-gluconate reductase,[c]5dglcn + h + nadph <==> glcn + nadp,Alternate Carbon Metabolism,EC-1.1.1.69,5,,,
DDGLK,2-dehydro-3-deoxygluconokinase,[c]2ddglcn + atp --> 2ddg6p + adp + h,Alternate Carbon Metabolism,EC-2.7.1.45,132,,,
LACZ,b-galactosidase,[c]h2o + lcts --> gal + glc-D,Alternate Carbon Metabolism,EC-3.2.1.23,,,,
MLTP1,Maltodextrin phosphorylase (maltopentaose),[c]maltpt + pi <==> g1p + maltttr,Alternate Carbon Metabolism,,10,,,
MLTP2,Maltodextrin phosphorylase (maltohexaose),[c]malthx + pi <==> g1p + maltpt,Alternate Carbon Metabolism,,10,,,
MLTP3,Maltodextrin phosphorylase (maltoheptaose),[c]malthp + pi <==> g1p + malthx,Alternate Carbon Metabolism,,10,,,
AMALT1,Amylomaltase (maltotriose),[c]malt + malttr --> glc-D + maltttr,Alternate Carbon Metabolism,EC-2.4.1.25,10,,,
AMALT2,Amylomaltase (maltotetraose),[c]malt + maltttr --> glc-D + maltpt,Alternate Carbon Metabolism,EC-2.4.1.25,10,,,
AMALT3,Amylomaltase (maltopentaose),[c]malt + maltpt --> glc-D + malthx,Alternate Carbon Metabolism,EC-2.4.1.25,10,,,
AMALT4,Amylomaltase (maltohexaose),[c]malt + malthx --> glc-D + malthp,Alternate Carbon Metabolism,EC-2.4.1.25,10,,,
