Metabolite name,Metabolite description,Metabolite neutral formula,Metabolite charged formula,Metabolite charge,Metabolite KEGG ID
atp[c],ATP,C10H16N5O13P3,C10H12N5O13P3,-4,C00002
glc-D[c],D-Glucose,C6H12O6,C6H12O6,0,C00031
adp[c],ADP,C10H15N5O10P2,C10H12N5O10P2,-3,C00008 
g6p[c],D-Glucose 6-phosphate,C6H13O9P,C6H11O9P,-2,C00092
h[c],H+,H,H,1,C00080
glc-B[c],D-Glucose,C6H12O6,C6H12O6,0,
g6p-B[c],D-Glucose 6-phosphate,C6H11O9P,C6H11O9P,-2,
34dhmald[c],"3,4-Dihydroxymandelaldehyde",C8H8O4,C8H8O4,0,C05577
nadh[c],Nicotinamide adenine dinucleotide - reduced,C21H29N7O14P2,C21H27N7O14P2,-2,C00004
34dhoxpeg[c],"3,4-Dihydroxyphenylethyleneglycol",C8H10O4,C8H10O4,0,C05576
nad[c],Nicotinamide adenine dinucleotide,C21H28N7O14P2,C21H26N7O14P2,-1,C00003
34hpp[c],3-(4-Hydroxyphenyl)pyruvate,C9H8O4,C9H7O4,-1,C01179
o2[c],O2,O2,O2,0,C00007
co2[c],CO2,CO2,CO2,0,C00011
hgentis[c],Homogentisate,C8H8O4,C8H7O4,-1,C00544
3hdecACP[c],(R)-3-Hydroxydecanoyl-[acyl-carrier protein],C21H40N2O9PRS,C21H39N2O9PRS,-1,C04619
h2o[c],H2O,H2O,H2O,0,C00001
tdec2eACP[c],trans-Dec-2-enoyl-[acyl-carrier protein],C21H38N2O8PRS,C21H37N2O8PRS,-1,C05754
3hddecACP[c],(R)-3-Hydroxydodecanoyl-[acyl-carrier protein],C23H44N2O9PRS,C23H43N2O9PRS,-1,C05757
tddec2eACP[c],trans-Dodec-2-enoyl-[acyl-carrier protein],C23H42N2O8PRS,C23H41N2O8PRS,-1,C05758
3hcddec5eACP[c],(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein],C23H42N2O9PRS,C23H41N2O9PRS,-1,
t3c5ddeceACP[c],trans-3-cis-5-dodecenoyl-[acyl-carrier protein],C23H40N2O8PRS,C23H39N2O8PRS,-1,
3hmrsACP[c],(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein],C25H48N2O9PRS,C25H47N2O9PRS,-1,C04688
tmrs2eACP[c],trans-Tetradec-2-enoyl-[acyl-carrier protein],C25H46N2O8PRS,C25H45N2O8PRS,-1,C05760
3hcmrs7eACP[c],(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein],C25H46N2O9PRS,C25H45N2O9PRS,-1,
t3c7mrseACP[c],trans-3-cis-7-myristoleoyl-[acyl-carrier protein],C25H44N2O8PRS,C25H43N2O8PRS,-1,
3hpalmACP[c],R-3-hydroxypalmitoyl-[acyl-carrier protein],C27H52N2O9PRS,C27H51N2O9PRS,-1,C04633
tpalm2eACP[c],trans-Hexadec-2-enoyl-[acyl-carrier protein],C27H50N2O8PRS,C27H49N2O8PRS,-1,C05763
3hcpalm9eACP[c],(R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein],C27H50N2O9PRS,C27H49N2O9PRS,-1,
t3c9palmeACP[c],trans-3-cis-9-palmitoleoyl-[acyl-carrier protein],C27H48N2O8PRS,C27H47N2O8PRS,-1,
3hoctaACP[c],(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein],C29H56N2O9PRS,C29H55N2O9PRS,-1,
toctd2eACP[c],trans-octadec-2-enoyl-[acyl-carrier protein],C29H54N2O8PRS,C29H53N2O8PRS,-1,
3hcvac11eACP[c],(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein],C29H54N2O9PRS,C29H53N2O9PRS,-1,
t3c11vaceACP[c],trans-3-cis-11-vacceoyl-[acyl-carrier protein],C29H52N2O8PRS,C29H51N2O8PRS,-1,
3haACP[c],(3R)-3-Hydroxyacyl-[acyl-carrier protein],C15H28N2O9PRS,C15H27N2O9PRS,-1,C01271
but2eACP[c],But-2-enoyl-[acyl-carrier protein],C15H26N2O8PRS,C15H25N2O8PRS,-1,C04246
3hhexACP[c],(R)-3-Hydroxyhexanoyl-[acyl-carrier protein],C17H32N2O9PRS,C17H31N2O9PRS,-1,C05747
thex2eACP[c],trans-Hex-2-enoyl-[acyl-carrier protein],C17H30N2O8PRS,C17H29N2O8PRS,-1,C05748
3hoctACP[c],(R)-3-Hydroxyoctanoyl-[acyl-carrier protein],C19H36N2O9PRS,C19H35N2O9PRS,-1,C04620
toct2eACP[c],trans-Oct-2-enoyl-[acyl-carrier protein],C19H34N2O8PRS,C19H33N2O8PRS,-1,C05751
3odecACP[c],3-Oxodecanoyl-[acyl-carrier protein],C21H38N2O9PRS,C21H37N2O9PRS,-1,C05753
nadph[c],Nicotinamide adenine dinucleotide phosphate - reduced,C21H30N7O17P3,C21H26N7O17P3,-4,C00005
nadp[c],Nicotinamide adenine dinucleotide phosphate,C21H28N7O17P3,C21H25N7O17P3,-3,C00006
3oddecACP[c],3-Oxododecanoyl-[acyl-carrier protein],C23H42N2O9PRS,C23H41N2O9PRS,-1,C05756
3ocddec5eACP[c],3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein],C23H40N2O9PRS,C23H39N2O9PRS,-1,C00008 
