"CHEBI ID","KEGG ID"
"17138","C00661"
"15355","C01996"
"18148","C00660"
"18022","C01755"
"2208","C01756"
"17303","C01516"
"7476","C01517"
"34487","C14823"
"16067","C11555"
"34144","C14822"
"28542","C07297"
"64317","C07056"
"15901","C00429"
"17515","C00669"
"15554","C00427"
"17242","C00425"
"18041","C00424"
"28602","C00665"
"15639","C00664"
"16132","C00673"
"28542","C00672"
"17549","C00430"
"16870","C00670"
"16503","C01528"
"25858","C13747"
"6129","C07062"
"6343","C07063"
"31348","C12650"
"63577","C07065"
"7274","C00439"
"15859","C00438"
"804148","C07069"
"18107","C01762"
"15641","C00440"
"28209","C04805"
"6456","C07073"
"31739","C12662"
"40303","C07074"
"6541","C07072"
"47937","C00208"
"15347","C00207"
"16927","C00449"
"17407","C00448"
"16174","C00206"
"6741","C08169"
"17973","C00446"
"15636","C00445"
"41131","C01771"
"28842","C01530"
"9352","C01531"
"16359","C00695"
"16466","C01301"
"16675","C03722"
"30745","C07086"
"15843","C00219"
"16830","C00218"
"18077","C00459"
"27584","C01780"
"16311","C00458"
"17996","C00698"
"17748","C00214"
"15611","C00213"
"16171","C00455"
"10033","C01541"
"16335","C00212"
"15555","C00696"
"17960","C00222"
"15552","C01312"
"15903","C00221"
"17029","C00461"
"18319","C04823"
"17625","C00460"
"18377","C02406"
"31448","C12685"
"16236","C00469"
"15350","C00227"
"17263","C00468"
"17709","C00224"
"15519","C01794"
"18261","C02642"
"48430","C00233"
"929","C05923"
"17562","C00475"
"16265","C00232"
"21437","C05924"
"16332","C00231"
"17336","C00473"
"16509","C00472"
"58104","C05922"
"40673","C03508"
"15918","C00239"
"29103","C00238"
"50619","C03740"
"17245","C00237"
"16057","C00235"
"15637","C00234"
"15422","C00002"
"16990","C00486"
"4911","C01576"
"15377","C00001"
"36219","C00243"
"16235","C00242"
"17978","C04604"
"7101","C05933"
"15760","C00483"
"27809","C05938"
"18243","C03758"
"46245","C11378"
"28835","C11134"
"34310","C13550"
"18367","C00009"
"26078","C00009"
"16761","C00008"
"15379","C00007"
"15756","C00249"
"16325","C03990"
"30813","C01571"
"18009","C00006"
"17460","C00248"
"29101","C01330"
"16474","C00005"
"16908","C00004"
"30772","C00246"
"15846","C00003"
"15891","C00245"
"18361","C00013"
"17015","C00255"
"15842","C01103"
"28553","C05704"
"5855","C01588"
"28850","C01346"
"16526","C00011"
"15940","C00253"
"1146900","C00010"
"895821","C05944"
"30805","C02679"
"27814","C05949"
"17436","C01107"
"17310","C00250"
"397485","C00492"
"48522","C15976"
"15414","C00019"
"18405","C00018"
"16238","C00016"
"32398","C00258"
"17659","C00015"
"15646","C04853"
"30776","C01585"
"16134","C00014"
"42111","C00256"
"6339","C11718"
"42355","C01912"
"37737","C03090"
"27540","C05270"
"61526","C05272"
"28706","C05271"
"10110","C07210"
"28493","C05274"
"2003","C04185"
"27721","C05273"
"27537","C05276"
"392583","C06124"
"10723","C05275"
"60361","C06125"
"16852","C00822"
"27859","C04188"
"76917","C07699"
"29746","C01921"
"49662","C01926"
"59877","C11720"
"6916","C07220"
"16566","C00836"
"3640","C07461"
"804632","C00835"
"4814","C07467"
"50694","C07225"
"7934","C00832"
"16753","C00831"
"3347","C07468"
"5959","C07469"
"44185","C01937"
"27576","C05290"
"428206","C05293"
"28866","C08320"
"41721","C00606"
"17347","C05295"
"17405","C00847"
"15533","C01944"
"364453","C18364"
"28946","C07480"
"27732","C07481"
"75984","C07001"
"18304","C00857"
"27905","C00850"
"16581","C01953"
"6128","C01716"
"18344","C01717"
"7824","C07492"
"83815","C07495"
"7465","C07253"
"3388","C07496"
"7454","C07251"
"28803","C00627"
"7459","C07252"
"5163","C07016"
"5136","C07014"
"7916","C00864"
"16300","C00620"
"47426","C07017"
"16521","C01724"
"30164","C11526"
"5441","C07022"
"15553","C00639"
"16714","C06174"
"63613","C07263"
"18086","C00637"
"35374","C00636"
"15473","C00877"
"7565","C07266"
"37397","C00634"
"7575","C07267"
"15793","C00632"
"17835","C00631"
"15479","C00630"
"15468","C00882"
"15698","C00881"
"34151","C14807"
"7508","C01737"
"16330","C03917"
"127604","C07270"
"30913","C00408"
"17191","C00407"
"18335","C00647"
"39949","C00404"
"15536","C00888"
"63154","C00645"
"17364","C00402"
"16137","C00401"
"18101","C00642"
"28591","C01502"
"29034","C14819"
"16974","C02835"
"29033","C14818"
"64095","C14815"
"34145","C14812"
"28181","C06194"
"5778","C07041"
"1069535","C05297 "
"5790","C07042"
"25351","C00418"
"32805","C00417"
"15799","C00416"
"73246","C00416"
"47499","C07049"
"15633","C00415"
"16302","C00899"
"5864","C07047"
"15652","C00655"
"17076","C00413"
"15541","C00412"
"17026","C00410"
"15513","C00894"
"32154","D01924"
"48844","C13173"
"28843","C03373"
"16749","C01194"
"15527","C02041"
"27870","C05552"
"16835","C05313"
"8247","C07508"
"545933","C16680"
"78273","C16681"
"78272","C16682"
"17482","C02291"
"64489","C04230"
"72998","C04230"
"16155","C04477"
"4995","C07501"
"583972","C02059"
"28125","C06429"
"27432","C06427"
"3013","C07758"
"28364","C06428"
"52971","C17568"
"15538","C02060"
"15927","C03150"
"2567","C07752"
"17230","C05330"
"28834","C04483"
"112608","C07753"
"17248","C04244"
"27585","C05335"
"27852","C05577"
"28661","C06426"
"1387","C05576"
"27406","C05579"
"18169","C04006"
"28701","C05337"
"28837","C06423"
"27404","C05578"
"28875","C06424"
"18364","C05108"
"3215","C07529"
"27910","C05107"
"116735","C07527"
"28113","C05109"
"6759","C07528"
"27637","C05580"
"545959","C05582"
"28111","C05581"
"1127735","C05584"
"1670","C05100"
"683522","C07763"
"545914","C02075"
"62165","C04257"
"144365","C05588"
"234100","C07767"
"9215","C02078"
"7125","C04256"
"1949","C05103"
"742324","C05587"
"16084","C05345"
"553564","C07765"
"144308","C05589"
"553832","C07766"
"27462","C05119"
"28692","C05118"
"50623","C16255"
"15651","C00909"
"27468","C00906"
"27683","C05350"
