Pathway ID,Metabolite ID,Metabolite Level,Metabolite Level Position,Metabolite Names,Metabolite Abbreviation
0,0,0,0,a-D-Glucose|D-glucose|D-hexose|Alpha-D-glucose,a-Glc
0,1,1,0,a-D-Glucose-6P|D-Glucose-6P|D-hexose 6-phosphate|D-glucose 6-phosphate|alpha-D-glucose 6-phosphate,a-G6P
0,2,2,0,B-D-Fructose-6P|D-fructose 6-phosphate,F6P
0,3,3,0,"B-D-Fructose-1,6P2|D-fructose 1,6-bisphosphate",F16P
0,4,4,0,Glyceraldehyde-3P|D-glyceraldehyde3-phosphate|D-glyceraldehyde 3-phosphate|D-glyceraldehyde-3-phosphate,GAPD
0,5,4,1,Glycerone-P|glycerone phosphate,DHAP
0,6,5,0,"Glycerate-1,3P2|3-phospho-D-glyceroyl phosphate",13BPG
0,7,6,0,Glycerate-3P|3-phospho-D-glycerate,3PGA
0,8,7,0,Glycerate-2P|2-phospho-D-glycerate,2PGA
0,9,8,0,Phosphoenol-pyruvate|phosphoenolpyruvate,PEP
0,10,9,0,Pyruvate|pyruvate,PYR
0,11,0,-1,B-D-Glucose|beta-D-glucose,B-Glc
0,12,1,1,a-D-Glucose-1P|Alpha-D-glucose 1-phosphate,a-G1P
0,13,1,-1,B-D-Glucose-6P,B-G6P
0,14,5.5,-1,"Glycerate-2,3P2|2,3-bisphospho-D-glycerate",23BPG
0,15,0,-2.5,D-Glucose,D-Glc
0,16,9,3,L-Lactate,Lactate
0,17,10,3,Acetaldehyde,HAc
0,18,11,3,Acetate,OAc
0,19,10,4,Ethanol,EtOH
