Pathway ID,Reaction ID,Reactants,Products,Reversible,EC # List,Level,Level Position,KEGG IDs,Notes
0,0,0,1,0,,,,,hydrogenase
0,1,2|3,4|5|6,1,1.2.1.2|1.2.1.43,,,R00519|R00134,Form
0,2,15|14|16,11|12|13,0,1.7.2.4,,,R02804,
0,3,20|19|21,15|17|18,0,1.7.2.5,,,R00294,
0,4,26|25|24,20|23|22,0,1.7.2.1,,,R00783,
0,5,31|32,33|34,1,1.6.99.3,,,R00281,NADH 
0,6,35|36,37|38,1,1.1.1.27,,,R00703,lac
0,7,39|40,41|42,1,1.1.5.3,,,R00848,glyc 3p 
0,8,43|44,45|46,1,1.3.5.1|1.3.5.4|1.3.98.1|1.3.99.1|1.3.99.-,,,R02164|R00408|R00412,succ
0,9,50|51,48|49,1,1.8.1.2|1.8.2.2,,,R00858,h2s
0,10,54|55,50|52|53,1,1.8.99.2,,,R08553,aps
0,11,58|57,54|56,1,2.7.7.4,,,R00529,so4
0,12,61|62,59|60,1,1.3.5.1|1.3.5.4|1.3.98.1|1.3.99.1|1.3.99.-,,,R02164|R00408|R00412,fum
0,13,61|63,59|64,1,1.3.1.6,,,R00402,fum
0,14,67|68,65|66|69,0,1.7.7.1|1.7.2.2,,,R00790|R05712,no2-nh3
0,15,67|70,65|71|72,0,1.7.1.4|1.7.1.15,,,R00787|R00789,no2-nh3
