Pathway ID,Metabolite ID,Metabolite Name,Metabolite Abbreviation,Position,Offset,Direction,KEGG Metabolite ID
0,0,Acetate,OAc,b,0,-1,C00033
0,1,Acetaldehyde,HAc,b,0,1,C00084
0,2,Ethanol,EtOH,b,0,-1,C00469
0,3,Pyruvate,PYR,b,-2,-1,C00022
0,4,L-Lactate,L-Lac,b,-0.5,-1,C00186
0,5,D-Lactate,D-Lac,b,1,-1,C00256
0,6,a-D-Glucose-1P,a-G1P,b,0,-1,C00103
0,7,B-D-Fructose-6P,F6P,b,0,-1,C00085
1,0,Succinate,SUC,r,0,-1,C00042
1,1,(S)-Malate,MAL,t,0,-1,C00149
1,2,2-Oxoglutarate,AKG,r,0,-1,C00026
1,3,Fumarate,FUM,t,0,-1,C00122
1,4,Citrate,CIT,b,0,-1,C00158
2,0,D-Gluconate,Gluconate,l,-3,-1,C00257
2,1,D-Ribose-5P,R5P,t,0,-1,C00117
2,2,D-Ribose,Ribose,t,0,-1,C00121
2,3,D-Glyceraldehyde,Glyceraldehyde,t,0,-1,C00577
2,4,Glycerate,Glycerate,t,0,-1,C00258
2,5,2-Dehydro-3-deoxy-D-gluconate,2H3OGlu,t,2,-1,C00204
17,0,Orthophosphate,Pi,t,0,-1,C00009
17,1,AMP,AMP,t,-1,-1,C00020
17,2,O2,O2,r,0,-1,C00007
17,3,H2O,H2O,r,0,-1,C00001
17,4,H,H,r,0.5,-1,C00080
24,0,L-Glutamine,Gln,b,0,-1,C00064
24,1,L-Glutamate,Glu,b,0,-1,C00025
