"Reaction Abbreviation","EC Number"
"R_23PDE2pp","3.1.4.16"
"R_23PDE4pp","3.1.4.16"
"R_23PDE7pp","3.1.4.16"
"R_23PDE9pp","3.1.4.16"
"R_2AGPEAT120","2.3.1.40"
"R_2AGPEAT140","2.3.1.40"
"R_2AGPEAT141","2.3.1.40"
"R_2AGPEAT160","2.3.1.40"
"R_2AGPEAT161","2.3.1.40"
"R_2AGPEAT180","2.3.1.40"
"R_2AGPEAT181","2.3.1.40"
"R_2AGPGAT120","2.3.1.40"
"R_2AGPGAT140","2.3.1.40"
"R_2AGPGAT141","2.3.1.40"
"R_2AGPGAT160","2.3.1.40"
"R_2AGPGAT161","2.3.1.40"
"R_2AGPGAT180","2.3.1.40"
"R_2AGPGAT181","2.3.1.40"
"R_2DGLCNRy","1.1.1.215"
"R_2DGULRGy","1.1.1.215"
"R_3HAD100","4.2.1.60"
"R_3HAD120","4.2.1.61"
"R_3HAD121","4.2.1.61"
"R_3HAD140","4.2.1.61"
"R_3HAD141","4.2.1.61"
"R_3HAD160","4.2.1.61"
"R_3HAD161","4.2.1.61"
"R_3HAD180","4.2.1.61"
"R_3HAD181","4.2.1.61"
"R_3HAD40","4.2.1.58"
"R_3HAD60","4.2.1.58"
"R_3HAD80","4.2.1.58"
"R_3OAR100","1.1.1.100"
"R_3OAR120","1.1.1.100"
"R_3OAR121","1.1.1.100"
"R_3OAR140","1.1.1.100"
"R_3OAR141","1.1.1.100"
"R_3OAR160","1.1.1.100"
"R_3OAR161","1.1.1.100"
"R_3OAR180","1.1.1.100"
"R_3OAR181","1.1.1.100"
"R_3OAR40","1.1.1.100"
"R_3OAR60","1.1.1.100"
"R_3OAR80","1.1.1.100"
"R_3OAS100","2.3.1.41"
"R_3OAS120","2.3.1.41"
"R_3OAS121","2.3.1.41"
"R_3OAS140","2.3.1.41"
"R_3OAS141","2.3.1.41"
"R_3OAS160","2.3.1.41"
"R_3OAS161","2.3.1.41"
"R_3OAS180","2.3.1.41"
"R_3OAS181","2.3.1.41"
"R_3OAS60","2.3.1.41"
"R_3OAS80","2.3.1.41"
"R_42A12BOOXpp","1.4.3.6"
"R_5DGLCNR","1.1.1.69"
"R_A5PISO","5.3.1.13"
"R_AACPS1","6.2.1.20"
"R_AACPS2","6.2.1.20"
"R_AACPS3","6.2.1.20"
"R_AACPS4","6.2.1.20"
"R_AACPS5","6.2.1.20"
"R_AACPS6","6.2.1.20"
"R_AACPS7","6.2.1.20"
"R_AACPS8","6.2.1.20"
"R_AACPS9","6.2.1.20"
"R_AB6PGH","3.2.1.86"
"R_ABTA","2.6.1.19"
"R_ABUTD","1.2.1.19"
"R_ACACT1r","2.3.1.9"
"R_ACACT2r","2.3.1.16"
"R_ACACT3r","2.3.1.16"
"R_ACACT4r","2.3.1.16"
"R_ACACT5r","2.3.1.16"
"R_ACACT6r","2.3.1.16"
"R_ACACT7r","2.3.1.16"
"R_ACACT8r","2.3.1.16"
"R_ACALD","1.2.1.10"
"R_ACANTHAT","2.3.1.118"
"R_ACCOAC","6.4.1.2"
"R_ACCOAL","6.2.1.13"
"R_ACGAL1PPpp","3.1.3.10"
"R_ACGAM1PPpp","3.1.3.10"
"R_ACGAMK","2.7.1.59"
"R_ACGK","2.7.2.8"
"R_ACGS","2.3.1.1"
"R_ACKr","2.7.2.1"
"R_ACLS","4.1.3.18"
"R_ACNML","4.1.3.3"
"R_ACOAD1f","1.3.99.2"
"R_ACOAD2f","1.3.99.3"
"R_ACOAD3f","1.3.99.3"
"R_ACOAD4f","1.3.99.3"
"R_ACOAD5f","1.3.99.3"
"R_ACOAD6f","1.3.99.3"
"R_ACOAD7f","1.3.99.3"
"R_ACOAD8f","1.3.99.3"
"R_ACOATA","2.3.1.38"
"R_ACODA","3.5.1.16"
"R_ACONIs","5.3.3.7"
"R_ACONTa","4.2.1.3"
"R_ACONTb","4.2.1.3"
"R_ACOTA","2.6.1.11"
"R_ACPS1","2.7.8.7"
"R_ACS","6.2.1.1"
"R_ADA","3.5.4.4"
"R_ADD","3.5.4.2"
"R_ADK1","2.7.4.3"
"R_ADMDC","4.1.1.50"
"R_ADNCYC","4.6.1.1"
"R_ADNK1","2.7.1.20"
"R_ADNUC","3.2.2.8"
"R_ADPRDP","3.6.1.13"
"R_ADPT","2.4.2.7"
"R_ADSK","2.7.1.25"
"R_ADSL1r","4.3.2.2"
"R_ADSL2r","4.3.2.2"
"R_ADSS","6.3.4.4"
"R_AGDC","3.5.1.25"
"R_AGMHE","5.1.3.20"
"R_AGMT","3.5.3.11"
"R_AGPAT120","2.3.1.51"
"R_AGPAT140","2.3.1.51"
"R_AGPAT141","2.3.1.51"
"R_AGPAT160","2.3.1.51"
"R_AGPAT161","2.3.1.51"
"R_AGPAT180","2.3.1.51"
"R_AGPAT181","2.3.1.51"
"R_AGPR","1.2.1.38"
"R_AHCYSNS","3.2.2.9"
"R_AICART","2.1.2.3"
"R_AKGDH","1.8.1.4 1.2.4.2 2.3.1.61"
"R_ALAALAD","3.4.17.14"
"R_ALAALAr","6.3.2.4"
"R_ALAR","5.1.1.1"
"R_ALATA_L","2.6.1.2"
"R_ALATRS","6.1.1.7"
"R_ALCD19","1.1.1.1"
"R_ALCD2x","1.1.1.1"
"R_ALDD19x","1.2.1.39"
"R_ALDD19xr","1.2.1.39"
"R_ALDD2x","1.2.1.3"
"R_ALDD2y","1.2.1.4"
"R_ALLTAMH","3.5.3.9"
"R_ALLTN","3.5.2.5"
"R_ALTRH","4.2.1.7"
"R_AMALT1","2.4.1.25"
"R_AMALT2","2.4.1.25"
"R_AMALT3","2.4.1.25"
"R_AMALT4","2.4.1.25"
"R_AMANK","2.7.1.60"
"R_AMAOTr","2.6.1.62"
"R_AMPN","3.2.2.4"
"R_AMPTASECG","3.4.11.2"
"R_AMPTASEPG","3.4.11.2"
"R_ANPRT","2.4.2.18"
"R_ANS","4.1.3.27"
"R_AOXSr","2.3.1.47"
"R_AOXSr2","2.3.1.47"
"R_AP4AH","3.6.1.41"
"R_APCS","2.5.1.16"
"R_APH120","3.6.1.7"
"R_APH140","3.6.1.7"
"R_APH141","3.6.1.7"
"R_APH160","3.6.1.7"
"R_APH161","3.6.1.7"
"R_APH180","3.6.1.7"
"R_APH181","3.6.1.7"
"R_APPLDHr","1.1.1.75"
"R_APRAUR","1.1.1.193"
"R_ARAI","5.3.1.4"
"R_ARGDC","4.1.1.19"
"R_ARGDCpp","4.1.1.19"
"R_ARGSL","4.3.2.1"
"R_ARGSS","6.3.4.5"
"R_ARGTRS","6.1.1.19"
"R_ASAD","1.2.1.11"
"R_ASNN","3.5.1.1"
"R_ASNNpp","3.5.1.1"
"R_ASNS1","6.3.5.4"
"R_ASNS2","6.3.1.1"
"R_ASNTRS","6.1.1.22"
"R_ASP1DC","4.1.1.11"
"R_ASPCT","2.1.3.2"
"R_ASPK","2.7.2.4"
"R_ASPT","4.3.1.1"
"R_ASPTA","2.6.1.1"
"R_ASPTRS","6.1.1.12"
"R_AST","2.3.1.109"
"R_ATPPRT","2.4.2.17"
"R_ATPS4rpp","3.6.3.14"
"R_BETALDHx","1.2.1.8"
"R_BETALDHy","1.2.1.8"
"R_BPNT","3.1.3.7"
"R_BTS4","2.8.1.6"
"R_BTS5","2.8.1.6"
"R_BUTCT","2.8.3.8"
