Reactants,Products,Reversible,EC # List,Length,Positioning,Direction,KEGG IDs
0 13,2 0,0,1.1.1.49,-6,1,vertical,R00835
0 13,2 11,0,1.1.1.49,1,0,none,R00835
0 11,2 11,0,1.1.3.4|1.1.3.5,1,0,none,R01522
0 11,2 11,1,1.1.1.47,-2,0,none,R01520|R01521
0 15,2 11,0,1.1.1.360|1.1.1.359|1.1.5.9|1.1.5.2,1,0,none,R01096|R07147|R10428|R00305|R06620
0 10,1 0,1,1.2.7.1,2,1,horizontal,R01196
0 10,1 10,0,6.4.1.1,1,0,none,R00344
2 3|2 4,2 5|0 4,1,2.2.1.1,1,0,none,R01641
2 4,0 4,0,4.1.2.9,1,0,none,R01621
2 21,0 4,1,4.1.2.4,1,0,none,R01066
2 5|0 4,0 2|2 6,1,2.2.1.2,1,0,none,R08575
2 4|2 6,0 2|0 4,1,2.2.1.1,1,0,none,R01641
2 16,0 4|0 10,1,4.1.2.14|4.1.2.55,1,0,none,R05605|R01064
2 18,0 8,0,2.7.1.165,1,0,none,R08572
2 15,2 17|0 10,1,4.1.2.55|4.1.2.51,1,0,none,R01064|R05605|R08570
1 9,0 10,0,1.1.1.38,1,0,none,
1 9,0 10,0,1.1.1.40,-4,0,none,
0 9,1 10,0,4.1.1.31,1,0,none,
1 10,0 9,0,4.1.1.32|4.1.1.49,-7,0,none,R00431|R00341
0 17,1 0,0,1.2.1.10|1.1.1.1,1,0,none,
1 5,24 1,1,1.4.1.2|1.4.1.3|1.4.1.4,2,1,vertical,R00243|R00248
1 5|24 0,24 1,0,1.4.1.13|1.4.1.14,1,0,none,R00114|R00248|R00256
1 0,90 0,1,2.3.1.8,1.5,1,vertical,R00230
0 18,90 0,1,2.7.2.12|2.7.2.1|2.7.2.-,1,0,none,R00320|R00315|R01353
0 10,1 0,1,2.3.1.54|1.97.1.4,2,0,none,
24 2,1 5,0,3.5.1.3,1,0,none,R03804
