Pathway ID,Reaction ID,Reactants,Products,Reversible,EC # List,Level,Level Position,Notes
0,0,0,1,0,2.7.1.1|2.7.1.2|2.7.1.63|2.7.1.147,0.5,0,
0,1,1,2,1,5.3.1.9,1.5,0,
0,2,2,3,0,2.7.1.11|2.7.1.146,2.5,0,
0,3,3,4|5,1,4.1.2.13,3.5,0,
0,4,5,4,1,5.3.1.1,4,0.5,
0,5,4,6,1,1.2.1.12|1.2.1.59,4.5,0,
0,6,7,6,1,2.7.2.3,5.5,0,
0,7,8,7,1,5.4.2.1|5.4.2.11|5.4.2.12|2.7.5.3,6.5,0,
0,8,8,9,1,4.2.1.11,7.5,0,
0,9,9,10,0,2.7.1.40,8.5,0,
0,10,10,9,0,2.7.9.2,8.5,0.25,
0,11,12,1,1,5.4.2.2,1,0.5,
0,12,11,0,1,5.1.3.3,0,-0.5,
0,13,11,13,0,2.7.1.1|2.7.1.2|2.7.1.63|2.7.1.147,0.5,-1,
0,14,13,1,1,5.3.1.9|5.1.3.15,1,-0.5,
0,15,13,2,1,5.3.1.9,1.5,-0.5,
0,16,1,0,0,3.1.3.9,0.5,-0.25,
0,17,3,2,0,3.1.3.11,2.5,0.2,
0,18,4,7,0,1.2.1.9|1.2.7.6,5,0.5,
0,19,6,14,1,5.4.2.4,5.25,-0.5,
0,20,14,7,1,3.1.3.13,5.75,-0.5,
0,21,14,8,0,3.1.3.80,6.25,-0.5,
0,22,10,16,1,1.1.1.27|1.1.1.28,9,1.5,
0,23,19,17,1,1.1.1.1|1.2.1.1|1.2.1.10,10,3.5,
0,24,9,2|10,0,2.7.1.69|2.7.3.9,7,5,
2,0,0,1,0,3.1.1.31,0.5,0,
2,1,1,2,0,1.1.1.44,1.5,0,
2,2,2,3,1,5.3.1.6|5.3.1.-,2.5,-0.5,
2,3,2,4,0,5.1.3.1,2.5,0.5,
2,4,3,7,1,2.7.1.15,3,-1.5,
2,5,3,8,1,5.4.2.7|5.4.2.2,3.5,-1,
2,6,8,9,0,5.4.2.7,4.5,-1,
2,7,9,10,0,2.7.4.23,5,-1.5,
2,8,3,10,1,2.7.6.1,4,-1.5,
2,9,11,12,0,3.1.1.17,1,4,
2,10,1,12,0,2.7.1.12,1.25,2,
2,11,12,13,0,1.1.99.3,1.6,3,
2,12,12,13,1,1.1.1.215,2,3,
2,13,13,14,0,2.7.1.13,1.55,1.5,
2,14,14,1,0,1.1.1.43,1.2,0.5,
2,15,12,15,0,4.2.1.39|4.2.1.40,2.6,4.25,
2,16,15,16,0,2.7.1.45|2.7.1.178,5.4,3.6,
2,17,1,16,0,4.1.2.14|4.1.2.55,2.5,1.25,
2,18,17,18,0,1.2.99.8|1.2.1.89|1.2.7.5,6.5,3.6,
1,0,0|10,1,1,2.3.3.1|2.3.3.3|2.3.3.8|4.1.3.6|4.1.3.7|4.1.3.8,0.7,0.7,
1,1,1,2,1,4.2.1.3|4.2.1.99,1.35,3.6,
1,2,2,3,1,4.2.1.3|4.2.1.99,2.35,5,
1,3,3,4,1,1.1.1.42|1.1.1.41|1.1.1.286,3.75,5.5,
1,4,4,5,1,1.1.1.42|1.1.1.41|1.1.1.286,5.25,4.5,
1,5,5,6,1,1.2.7.3,5.8,0.4,
1,6,5,6,0,1.8.1.4|1.2.4.2|2.3.1.61,6.1,0.6,
1,7,6,7,1,6.2.1.4|6.2.1.5|2.8.3.18,5.25,-3.5,
1,8,7,8,1,1.3.5.1|1.3.5.4|1.3.99.1,3.75,-4.5,
1,9,8,9,1,4.2.1.2,2.35,-4,
1,10,9,10,1,1.1.1.37,1.15,-2.25,
1,11,9,10,0,1.1.5.4,1.55,-2.45,
1,12,3|11,7,0,4.1.3.1,4,-1,
1,13,0|11,9,0,4.1.3.2|2.3.3.9,2,-1.5,
24,0,0,1,0,3.5.1.2|3.5.1.38|6.3.5.8,0.5,1,
24,1,1,0,0,6.3.1.2,0.7,1,
17,0,2|3,0|1,0,1.6.1.1|1.6.1.2,1.5,0.625,
17,1,0|1,2|3|4,0,1.6.1.1|1.6.1.2,0.5,0.625,
17,2,7|8,5|9|10,1,3.6.3.14,0.5,3,
17,3,5|6,7,1,2.7.4.3,1,3,
17,4,11|13|14,12|15,0,1.6.5.3,4,3.5,
17,5,12|17|18,11|16,0,1.9.3.-|1.10.3.-,4,3,
